Order_ID,Returns,Order_Date,Ship_Date,Shipping_Time_Days,Segment,Country_Region,City,State,Sales_Manager,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Profit,Return_Loss,,,,,,,,,,,,,,,,,,,,
CA-2020-108196,No,11/25/2020,12/2/2020,7,Consumer,United States,Lancaster,Ohio,Chuck Magee,East,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,"$4,499.99","-$6,599.98",$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-168116,No,11/4/2021,11/4/2021,0,Corporate,United States,Burlington,North Carolina,Cassandra Brandow,South,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,"$7,999.98","-$3,839.99",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-169019,Yes,7/26/2018,7/30/2018,4,Consumer,United States,San Antonio,Texas,Kelly Williams,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,"$2,177.58","-$3,701.89","$5,879.48",,,,,,,,,,,,,,,,,,,,
CA-2021-134845,No,4/17/2021,4/23/2021,6,Home Office,United States,Louisville,Colorado,Anna Andreadi,West,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,"$2,549.99","-$3,399.98",$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-122714,No,12/7/2021,12/13/2021,6,Corporate,United States,Chicago,Illinois,Kelly Williams,Central,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,"$1,889.99","-$2,929.48",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-147830,No,12/15/2019,12/18/2019,3,Consumer,United States,Newark,Ohio,Chuck Magee,East,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,"$1,799.99","-$2,639.99",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-131254,No,11/19/2021,11/21/2021,2,Consumer,United States,Houston,Texas,Kelly Williams,Central,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,"$1,525.19","-$2,287.78",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-116638,No,1/28/2019,1/31/2019,3,Consumer,United States,Concord,North Carolina,Cassandra Brandow,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,"$4,297.64","-$1,862.31",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2020-130946,No,4/8/2020,4/12/2020,4,Consumer,United States,Houston,Texas,Kelly Williams,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,"$1,088.79","-$1,850.95",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-145317,No,3/18/2018,3/23/2018,5,Home Office,United States,Jacksonville,Florida,Cassandra Brandow,South,TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,"$22,638.48","-$1,811.08",$0.00,,,,,,,,,,,,,,,,,,,,
