Ticket_ID,Customer_Age,Customer_Gender,Product_Purchased,Ticket_Type,Ticket_Status,Ticket_Priority,Ticket_Channel,Ticket_Creation_Date,First_Response_Time,Time_to_Resolution,Customer_Satisfaction_Rating
1,32,Other,GoPro Hero,Technical issue,Pending Customer Response,Critical,Social media,5/31/23 12:15 PM,6/1/23 12:15 PM,,
2,42,Female,LG Smart TV,Technical issue,Pending Customer Response,Critical,Chat,5/31/23 4:45 PM,6/1/23 4:45 PM,,
3,48,Other,Dell XPS,Technical issue,Closed,Low,Social media,5/31/23 11:14 AM,6/1/23 11:14 AM,6/1/23 6:05 PM,3
4,27,Female,Microsoft Office,Billing inquiry,Closed,Low,Social media,5/31/23 7:29 AM,6/1/23 7:29 AM,6/1/23 1:57 AM,3
5,67,Female,Autodesk AutoCAD,Billing inquiry,Closed,Low,Email,5/31/23 12:12 AM,6/1/23 12:12 AM,6/1/23 7:53 PM,1
6,53,Male,Microsoft Office,Cancellation request,Open,Low,Social media,,,,
7,24,Other,Microsoft Surface,Product inquiry,Open,Critical,Social media,,,,
8,23,Male,Philips Hue Lights,Refund request,Open,Critical,Social media,,,,
9,60,Other,Fitbit Versa Smartwatch,Technical issue,Pending Customer Response,Low,Social media,5/31/23 10:32 AM,6/1/23 10:32 AM,,
10,27,Male,Dyson Vacuum Cleaner,Refund request,Pending Customer Response,Critical,Phone,5/31/23 9:25 AM,6/1/23 9:25 AM,,
11,48,Male,Nintendo Switch,Cancellation request,Closed,High,Phone,5/31/23 5:46 PM,6/1/23 5:46 PM,5/31/23 11:51 PM,1
12,51,Male,Microsoft Xbox Controller,Product inquiry,Closed,High,Chat,5/31/23 12:05 PM,6/1/23 12:05 PM,6/1/23 9:27 AM,1
13,27,Other,Nintendo Switch Pro Controller,Technical issue,Pending Customer Response,Low,Chat,5/31/23 7:03 PM,6/1/23 7:03 PM,,
14,65,Other,Nest Thermostat,Technical issue,Pending Customer Response,Low,Chat,5/31/23 8:34 PM,6/1/23 8:34 PM,,
15,48,Female,Sony PlayStation,Billing inquiry,Closed,High,Chat,5/31/23 6:22 AM,6/1/23 6:22 AM,5/31/23 11:08 PM,4
16,18,Other,GoPro Action Camera,Billing inquiry,Pending Customer Response,High,Social media,5/31/23 3:09 PM,6/1/23 3:09 PM,,
17,63,Other,Xbox,Product inquiry,Closed,Critical,Chat,5/31/23 7:46 PM,6/1/23 7:46 PM,6/1/23 3:58 PM,4
18,56,Female,Microsoft Xbox Controller,Product inquiry,Pending Customer Response,High,Chat,5/31/23 9:05 PM,6/1/23 9:05 PM,,
19,19,Male,LG Washing Machine,Product inquiry,Open,High,Social media,,,,
20,39,Female,Canon EOS,Refund request,Closed,Low,Chat,5/31/23 12:46 AM,6/1/23 12:46 AM,6/1/23 8:29 PM,5
21,28,Other,HP Pavilion,Refund request,Pending Customer Response,High,Chat,5/31/23 5:08 AM,6/1/23 5:08 AM,,
22,66,Male,Fitbit Versa Smartwatch,Cancellation request,Pending Customer Response,Critical,Social media,5/30/23 11:57 PM,5/31/23 11:57 PM,,
23,54,Female,Xbox,Cancellation request,Open,Medium,Social media,,,,
24,63,Female,Nintendo Switch Pro Controller,Technical issue,Pending Customer Response,Low,Social media,5/31/23 9:06 AM,6/1/23 9:06 AM,,
25,19,Male,Amazon Kindle,Product inquiry,Open,Critical,Email,,,,
